Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
214000000 0.00487175 0.00197269 -0.417367 0.513508 -1.46692 -1.47041 0.743579 0.684926 -0.793005 0.789657 0.446027 0.426527 1.19941 1.19968 1.20007 -1.36688 
234000000 0.00487243 0.00196951 -0.417375 0.516937 -1.46692 -1.47093 0.74358 0.682418 -0.793005 0.789569 0.446027 0.425861 1.19941 1.19968 1.20008 -1.3724 
254000000 0.00487311 0.00196637 -0.417383 0.520368 -1.46692 -1.47148 0.74358 0.679885 -0.793006 0.789484 0.446027 0.425197 1.19941 1.19968 1.20008 -1.37791 
274000000 0.0048738 0.00196324 -0.417391 0.523802 -1.46692 -1.47206 0.743581 0.677325 -0.793006 0.789401 0.446027 0.424534 1.19941 1.19969 1.20009 -1.38339 
294000000 0.00487449 0.00196013 -0.417399 0.527239 -1.46692 -1.47266 0.743582 0.674739 -0.793007 0.78932 0.446026 0.423873 1.19941 1.19969 1.20009 -1.38885 
314000000 0.00487518 0.00195704 -0.417407 0.530679 -1.46692 -1.47328 0.743582 0.672127 -0.793007 0.789242 0.446026 0.423213 1.19941 1.19969 1.2001 -1.39429 
334000000 0.00487586 0.00195397 -0.417415 0.534121 -1.46692 -1.47394 0.743583 0.669491 -0.793007 0.789167 0.446026 0.422555 1.19941 1.19969 1.20011 -1.39971 
354000000 0.00487656 0.00195093 -0.417423 0.537566 -1.46692 -1.47461 0.743583 0.666829 -0.793008 0.789093 0.446026 0.421898 1.19941 1.1997 1.20011 -1.40511 
374000000 0.00487725 0.0019479 -0.417431 0.541013 -1.46693 -1.47532 0.743584 0.664143 -0.793008 0.789022 0.446026 0.421244 1.19941 1.1997 1.20012 -1.41049 
394000000 0.00487794 0.0019449 -0.417439 0.544463 -1.46693 -1.47605 0.743585 0.661433 -0.793009 0.788954 0.446026 0.420591 1.19941 1.1997 1.20013 -1.41585 
414000000 0.00487864 0.00194192 -0.417447 0.547916 -1.46693 -1.4768 0.743585 0.658698 -0.793009 0.788888 0.446025 0.419939 1.19941 1.1997 1.20013 -1.42118 
434000000 0.00487933 0.00193895 -0.417455 0.551371 -1.46693 -1.47758 0.743586 0.65594 -0.79301 0.788824 0.446025 0.41929 1.19941 1.19971 1.20014 -1.42649 
454000000 0.00488003 0.00193601 -0.417463 0.55483 -1.46693 -1.47839 0.743587 0.653158 -0.79301 0.788762 0.446025 0.418642 1.19941 1.19971 1.20014 -1.43178 
474000000 0.00488073 0.00193309 -0.417471 0.55829 -1.46693 -1.47922 0.743587 0.650354 -0.79301 0.788703 0.446025 0.417996 1.19942 1.19971 1.20015 -1.43704 
