Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
710000000 0.00321052 0.000683795 -0.41722 0.641438 -1.46692 -1.46173 0.74352 0.678916 -0.793021 0.790727 0.446034 0.448915 1.19943 1.19961 1.20004 -1.44297 
730000000 0.00320897 0.0006825 -0.417225 0.658162 -1.46692 -1.46724 0.743517 0.664121 -0.793022 0.79049 0.446033 0.442537 1.19943 1.1996 1.20005 -1.46713 
750000000 0.00320778 0.000691643 -0.417228 0.644468 -1.46693 -1.46184 0.743515 0.68411 -0.793023 0.790695 0.446033 0.44806 1.19943 1.1996 1.20006 -1.46679 
770000000 0.00320578 0.000679726 -0.417232 0.671142 -1.46693 -1.47505 0.743511 0.657624 -0.793024 0.790466 0.446033 0.440894 1.19943 1.1996 1.20006 -1.47616 
790000000 0.00320656 0.00067839 -0.417236 0.664928 -1.46693 -1.47176 0.743508 0.67866 -0.793024 0.790568 0.446033 0.444178 1.19943 1.1996 1.20007 -1.47056 
810000000 0.00320367 0.000674065 -0.41724 0.654756 -1.46693 -1.46707 0.743507 0.695867 -0.793025 0.790721 0.446033 0.447821 1.19943 1.1996 1.20007 -1.45159 
830000000 0.00320289 0.000676471 -0.417244 0.64463 -1.46694 -1.46411 0.743502 0.717854 -0.793026 0.790444 0.446032 0.442122 1.19943 1.1996 1.20008 -1.43015 
850000000 0.00320055 0.00067221 -0.417247 0.674006 -1.46694 -1.47128 0.743498 0.68409 -0.793027 0.790391 0.446032 0.444954 1.19943 1.1996 1.20009 -1.4484 
870000000 0.00320095 0.000670171 -0.417254 0.68123 -1.46694 -1.47376 0.743494 0.674195 -0.793028 0.790219 0.446032 0.442655 1.19943 1.1996 1.20009 -1.47192 
890000000 0.00319837 0.000667206 -0.417261 0.68736 -1.46694 -1.47486 0.743492 0.663688 -0.793028 0.790427 0.446031 0.450941 1.19944 1.1996 1.2001 -1.49377 
910000000 0.00319572 0.000673322 -0.417267 0.693973 -1.46695 -1.47732 0.74349 0.65633 -0.793029 0.790432 0.446031 0.449507 1.19944 1.1996 1.20011 -1.50422 
930000000 0.00319609 0.000659544 -0.417269 0.702145 -1.46695 -1.48091 0.743484 0.646623 -0.79303 0.790406 0.446031 0.445693 1.19944 1.1996 1.20011 -1.50814 
950000000 0.00319327 0.000647751 -0.417274 0.721038 -1.46695 -1.48959 0.743483 0.612726 -0.793031 0.790407 0.446031 0.4463 1.19944 1.1996 1.20012 -1.53109 
970000000 0.0031931 0.000648488 -0.417277 0.729031 -1.46695 -1.49233 0.743481 0.597681 -0.793031 0.790255 0.44603 0.456496 1.19944 1.1996 1.20012 -1.55998 
990000000 0.00319208 0.000646384 -0.417279 0.724253 -1.46696 -1.48909 0.743478 0.604654 -0.793032 0.790143 0.44603 0.459615 1.19944 1.1996 1.20013 -1.57343 
10000000 0.00318929 0.000644487 -0.417285 0.720344 -1.46696 -1.4863 0.743475 0.610766 -0.793033 0.790202 0.44603 0.455237 1.19944 1.1996 1.20014 -1.57608 
30000000 0.00318741 0.000643455 -0.417289 0.746985 -1.46696 -1.50059 0.743471 0.575953 -0.793034 0.790365 0.44603 0.449533 1.19944 1.1996 1.20014 -1.5902 
50000000 0.00318805 0.000642843 -0.417295 0.77186 -1.46697 -1.51573 0.743467 0.548348 -0.793035 0.790617 0.446029 0.44602 1.19944 1.1996 1.20015 -1.61866 
70000000 0.00318528 0.000638187 -0.4173 0.783746 -1.46697 -1.52251 0.743467 0.53564 -0.793035 0.790137 0.446029 0.44953 1.19944 1.1996 1.20016 -1.64388 
90000000 0.00318561 0.000630547 -0.417304 0.790471 -1.46697 -1.52767 0.743462 0.530224 -0.793036 0.790165 0.446029 0.445176 1.19944 1.1996 1.20016 -1.65011 
110000000 0.00318323 0.0006273 -0.41731 0.805511 -1.46697 -1.53863 0.743461 0.506249 -0.793037 0.79033 0.446029 0.444803 1.19944 1.1996 1.20017 -1.67474 
130000000 0.00318348 0.000625138 -0.417314 0.821251 -1.46698 -1.55048 0.743456 0.483231 -0.793038 0.791029 0.446028 0.437221 1.19944 1.1996 1.20018 -1.70477 
150000000 0.00318129 0.000627038 -0.417321 0.854101 -1.46698 -1.5739 0.743455 0.443295 -0.793038 0.790543 0.446028 0.439074 1.19944 1.1996 1.20018 -1.75029 
170000000 0.00318204 0.000624636 -0.417326 0.88388 -1.46698 -1.59667 0.743453 0.407333 -0.793039 0.791528 0.446028 0.438412 1.19944 1.1996 1.20019 -1.79419 
190000000 0.00317978 0.000631997 -0.417332 0.879893 -1.46698 -1.59769 0.743452 0.421153 -0.79304 0.790923 0.446028 0.44255 1.19945 1.1996 1.20019 -1.8155 
210000000 0.00317939 0.000626078 -0.417336 0.895698 -1.46699 -1.60674 0.743447 0.398972 -0.793041 0.790855 0.446027 0.443368 1.19945 1.19959 1.2002 -1.81437 
230000000 0.00317741 0.000625376 -0.417344 0.921855 -1.46699 -1.62251 0.743447 0.365029 -0.793041 0.791056 0.446027 0.441237 1.19945 1.19959 1.20021 -1.82981 
250000000 0.00317836 0.00062179 -0.417349 0.902283 -1.46699 -1.61502 0.743444 0.4035 -0.793042 0.791685 0.446027 0.440908 1.19945 1.19959 1.20021 -1.82779 
270000000 0.00317521 0.000627774 -0.417355 0.928488 -1.467 -1.63099 0.743441 0.364557 -0.793043 0.793721 0.446027 0.432953 1.19945 1.19959 1.20022 -1.83643 
290000000 0.00317602 0.000628742 -0.41736 0.951001 -1.467 -1.64636 0.743439 0.340607 -0.793043 0.79352 0.446026 0.433337 1.19945 1.1996 1.20022 -1.85215 
310000000 0.00317452 0.000614762 -0.417365 0.972965 -1.467 -1.65956 0.743437 0.311216 -0.793044 0.79594 0.446026 0.426697 1.19945 1.19959 1.20023 -1.86529 
