Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
25.126000000 0.0241822 0.0140183 -0.449799 0.168173 -1.46639 -1.77476 0.78198 1.39503 -0.79807 1.01479 0.457785 1.21555 1.2063 1.22752 1.21175 -0.692702 
25.146000000 0.0242327 0.0140053 -0.449926 0.136068 -1.46633 -1.78775 0.78212 1.39012 -0.798062 1.0503 0.457819 1.28471 1.20629 1.22751 1.21176 -0.645308 
25.166000000 0.0242832 0.0140529 -0.450045 0.12128 -1.46628 -1.80869 0.782255 1.39419 -0.798054 1.02987 0.457851 1.2688 1.20628 1.2275 1.21177 -0.643199 
25.186000000 0.0243337 0.0140143 -0.450169 0.0870382 -1.46623 -1.83655 0.78239 1.36848 -0.798046 1.08969 0.457885 1.33625 1.20627 1.2275 1.21178 -0.590382 
25.206000000 0.0243848 0.0139874 -0.450286 0.0451341 -1.46617 -1.89783 0.782521 1.34852 -0.798038 1.12156 0.457917 1.38264 1.20626 1.2275 1.21179 -0.550913 
25.226000000 0.0244313 0.013994 -0.450413 0.00201843 -1.46612 -1.95705 0.782658 1.32568 -0.79803 1.15086 0.457951 1.4197 1.20625 1.2275 1.21181 -0.510965 
25.246000000 0.0244813 0.0139956 -0.450542 -0.0260817 -1.46607 -1.99823 0.782792 1.32709 -0.798021 1.16869 0.457983 1.43661 1.20624 1.2275 1.21182 -0.469181 
25.266000000 0.0245318 0.0139604 -0.450671 -0.0594314 -1.46601 -2.04177 0.782926 1.3419 -0.798013 1.20146 0.458017 1.46764 1.20623 1.2275 1.21183 -0.427993 
25.286000000 0.0245798 0.0139632 -0.450798 -0.0906643 -1.46596 -2.08753 0.783061 1.36377 -0.798005 1.22194 0.458049 1.48432 1.20622 1.2275 1.21185 -0.396657 
25.306000000 0.0246325 0.013928 -0.450926 -0.121838 -1.46591 -2.13653 0.783194 1.36838 -0.797996 1.25051 0.458082 1.51103 1.20621 1.22751 1.21186 -0.358689 
25.326000000 0.0246787 0.0139148 -0.451056 -0.14956 -1.46586 -2.18081 0.78333 1.37461 -0.797988 1.278 0.458114 1.52577 1.2062 1.22751 1.21187 -0.317758 
25.346000000 0.0247331 0.0138566 -0.451186 -0.174761 -1.46581 -2.22207 0.783463 1.39277 -0.797979 1.29429 0.458147 1.53824 1.20619 1.22751 1.21189 -0.297473 
25.366000000 0.0247802 0.013839 -0.451322 -0.186595 -1.46575 -2.24332 0.783597 1.38964 -0.79797 1.31141 0.458179 1.54935 1.20618 1.22752 1.2119 -0.274572 
25.386000000 0.0248303 0.0138262 -0.451453 -0.20932 -1.4657 -2.2694 0.783734 1.36509 -0.797961 1.35062 0.458212 1.57182 1.20617 1.22752 1.21191 -0.249463 
25.406000000 0.0248815 0.0137916 -0.451583 -0.240757 -1.46565 -2.30753 0.783865 1.32425 -0.797952 1.38149 0.458244 1.57951 1.20616 1.22753 1.21193 -0.214249 
25.426000000 0.0249319 0.0137842 -0.451713 -0.268743 -1.46559 -2.33137 0.783999 1.28016 -0.797943 1.38675 0.458277 1.58113 1.20615 1.22753 1.21194 -0.194559 
25.446000000 0.0249767 0.0137856 -0.451844 -0.29295 -1.46553 -2.34909 0.784139 1.26442 -0.797933 1.40729 0.45831 1.58481 1.20614 1.22754 1.21195 -0.180963 
25.466000000 0.0242066 0.0137629 -0.451969 -0.314987 -1.46548 -2.36344 0.784255 1.25285 -0.797926 1.42707 0.458341 1.58608 1.20613 1.22754 1.21196 -0.157645 
25.486000000 0.0237435 0.0137272 -0.452105 -0.351074 -1.46543 -2.38133 0.78439 1.216 -0.797917 1.45424 0.458374 1.59079 1.20612 1.22754 1.21197 -0.132311 
25.506000000 0.0237849 0.0137431 -0.452239 -0.370016 -1.46538 -2.39323 0.784522 1.20445 -0.797909 1.45627 0.458406 1.59149 1.20611 1.22754 1.21198 -0.124921 
25.526000000 0.0238375 0.013744 -0.452352 -0.392361 -1.46533 -2.41287 0.784658 1.19658 -0.797901 1.46517 0.45844 1.59211 1.20609 1.22754 1.212 -0.115887 
25.546000000 0.0238891 0.0137538 -0.452461 -0.398524 -1.46528 -2.42884 0.784789 1.22514 -0.797894 1.47581 0.458472 1.59418 1.20608 1.22754 1.21201 -0.104707 
25.566000000 0.023936 0.0137659 -0.452575 -0.407844 -1.46523 -2.44131 0.784926 1.25606 -0.797886 1.48701 0.458505 1.59592 1.20607 1.22754 1.21202 -0.0956939 
25.586000000 0.023983 0.0137811 -0.452682 -0.422598 -1.46517 -2.45291 0.785059 1.26251 -0.797878 1.51143 0.458538 1.59748 1.20606 1.22754 1.21204 -0.0809461 
25.606000000 0.0240318 0.013771 -0.452791 -0.440682 -1.46512 -2.46955 0.78519 1.23496 -0.79787 1.53601 0.45857 1.59983 1.20605 1.22753 1.21205 -0.0696819 
25.626000000 0.0240775 0.0137539 -0.452901 -0.445598 -1.46507 -2.48007 0.785322 1.22014 -0.797862 1.53919 0.458603 1.60085 1.20604 1.22753 1.21206 -0.0654917 
