Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
890000000 0.0243342 0.00111016 -0.455211 0.459518 -1.46449 -1.464 0.788151 0.807227 -0.797683 0.800487 0.459363 0.482068 1.20692 1.22342 1.21348 -1.23323 
910000000 0.0237436 0.00106639 -0.455331 0.463434 -1.46444 -1.46285 0.788284 0.804994 -0.797673 0.799983 0.459395 0.478281 1.20691 1.22347 1.21349 -1.23565 
930000000 0.0237847 0.00108957 -0.455453 0.46933 -1.46438 -1.45747 0.788411 0.826632 -0.797665 0.799521 0.459426 0.472741 1.2069 1.22349 1.2135 -1.23695 
950000000 0.0238313 0.00112938 -0.455576 0.49904 -1.46432 -1.45637 0.78854 0.848983 -0.797657 0.799904 0.459459 0.475831 1.20689 1.2235 1.21351 -1.26697 
970000000 0.0238744 0.00115363 -0.455701 0.539451 -1.46427 -1.454 0.788671 0.854825 -0.797648 0.799513 0.459491 0.469081 1.20688 1.22351 1.21352 -1.31202 
990000000 0.0239209 0.00117841 -0.455834 0.564184 -1.46421 -1.45354 0.788799 0.873619 -0.79764 0.799845 0.459522 0.472231 1.20687 1.22351 1.21354 -1.34074 
10000000 0.0239706 0.00120845 -0.455962 0.56769 -1.46415 -1.45334 0.788926 0.919137 -0.797632 0.800006 0.459554 0.476087 1.20686 1.22351 1.21355 -1.33229 
30000000 0.024013 0.00125422 -0.456095 0.586115 -1.46409 -1.45321 0.789056 0.967212 -0.797622 0.800148 0.459587 0.478465 1.20685 1.22351 1.21356 -1.35141 
50000000 0.0240595 0.00127219 -0.456222 0.596697 -1.46404 -1.45136 0.789182 1.01279 -0.797614 0.800051 0.459617 0.480749 1.20684 1.2235 1.21357 -1.36678 
70000000 0.0241053 0.00129007 -0.456356 0.605268 -1.46398 -1.45281 0.789313 1.06444 -0.797605 0.799963 0.45965 0.497925 1.20683 1.2235 1.21359 -1.38092 
