Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
590000000 0.0238846 0.00586717 -0.44973 0.474064 -1.46416 -1.46376 0.780732 0.805676 -0.797357 0.798543 0.457445 0.476168 1.20472 1.21734 1.20997 -1.2362 
610000000 0.0239365 0.00583027 -0.449839 0.480338 -1.46412 -1.46251 0.780848 0.803931 -0.797351 0.798152 0.457474 0.471808 1.20471 1.21737 1.20999 -1.23966 
630000000 0.0239845 0.00585037 -0.449961 0.495396 -1.46406 -1.45686 0.78098 0.822172 -0.797344 0.79711 0.457508 0.463382 1.2047 1.21739 1.21 -1.2448 
650000000 0.0240304 0.00588551 -0.450085 0.524242 -1.464 -1.45742 0.78111 0.848188 -0.797336 0.798228 0.457541 0.470151 1.20469 1.2174 1.21001 -1.2698 
670000000 0.0240775 0.00592129 -0.450201 0.564144 -1.46395 -1.45658 0.781245 0.854222 -0.797329 0.797643 0.457574 0.464904 1.20468 1.21741 1.21002 -1.31071 
690000000 0.0241251 0.00593023 -0.450321 0.583658 -1.46389 -1.45596 0.781376 0.872287 -0.797322 0.797748 0.457607 0.466527 1.20467 1.21741 1.21003 -1.32904 
710000000 0.0241725 0.00594947 -0.450436 0.591363 -1.46383 -1.45549 0.781509 0.914192 -0.797314 0.798208 0.45764 0.474854 1.20466 1.21741 1.21005 -1.32251 
730000000 0.0242176 0.00597106 -0.450553 0.605158 -1.46378 -1.45558 0.78164 0.961948 -0.797306 0.798171 0.457673 0.476289 1.20465 1.21741 1.21006 -1.34071 
750000000 0.0242651 0.00599984 -0.450677 0.619678 -1.46372 -1.4546 0.781772 1.00433 -0.797298 0.798196 0.457707 0.482538 1.20464 1.21741 1.21007 -1.35179 
770000000 0.0243135 0.00600822 -0.450795 0.627068 -1.46366 -1.45482 0.781902 1.05714 -0.79729 0.798212 0.457739 0.490412 1.20463 1.2174 1.21008 -1.35729 
790000000 0.0243598 0.00602434 -0.450921 0.635637 -1.4636 -1.44969 0.782036 1.08434 -0.797282 0.798291 0.457773 0.47432 1.20462 1.21741 1.2101 -1.38466 
810000000 0.024408 0.00602644 -0.451036 0.638259 -1.46355 -1.4487 0.782168 1.12447 -0.797274 0.798428 0.457805 0.476022 1.20461 1.21741 1.21011 -1.4059 
830000000 0.0244557 0.00603036 -0.451156 0.639345 -1.46349 -1.44594 0.782303 1.13742 -0.797266 0.798653 0.457839 0.46974 1.2046 1.21741 1.21012 -1.42056 
850000000 0.0245035 0.00603637 -0.451278 0.642988 -1.46343 -1.43909 0.782436 1.14007 -0.797258 0.79948 0.457871 0.459277 1.20459 1.21741 1.21013 -1.44673 
870000000 0.0245524 0.00602994 -0.451398 0.644285 -1.46338 -1.43707 0.782571 1.1452 -0.79725 0.799939 0.457905 0.457597 1.20458 1.21741 1.21015 -1.45755 
890000000 0.0246011 0.00603356 -0.451513 0.642973 -1.46332 -1.44197 0.782704 1.16645 -0.797241 0.799069 0.457937 0.4738 1.20457 1.21741 1.21016 -1.44693 
