Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
991000000 0.00413821 0.0016143 -0.417436 -0.770729 -1.46682 -1.88379 0.743656 -0.266686 -0.793003 0.984836 0.446037 0.465177 1.19942 1.19966 1.20002 0.145946 
11000000 0.00413907 0.00161542 -0.417449 -0.784964 -1.46682 -1.84599 0.743658 -0.329521 -0.793003 1.0056 0.446036 0.456707 1.19942 1.19966 1.20002 0.13423 
31000000 0.00413992 0.00161486 -0.417461 -0.798481 -1.46682 -1.80834 0.743659 -0.392355 -0.793004 1.02825 0.446036 0.450982 1.19942 1.19966 1.20002 0.12175 
51000000 0.00414077 0.0016138 -0.417474 -0.811368 -1.46682 -1.77111 0.743661 -0.455188 -0.793004 1.05334 0.446036 0.448637 1.19942 1.19966 1.20003 0.108548 
71000000 0.00414162 0.00161256 -0.417486 -0.823577 -1.46682 -1.73428 0.743662 -0.518021 -0.793005 1.08168 0.446036 0.450424 1.19942 1.19966 1.20003 0.0944993 
91000000 0.00414247 0.00161123 -0.417498 -0.835029 -1.46682 -1.6978 0.743664 -0.580853 -0.793005 1.11448 0.446036 0.457232 1.19942 1.19966 1.20004 0.0794005 
111000000 0.00414331 0.0016098 -0.41751 -0.845636 -1.46682 -1.66158 0.743665 -0.643686 -0.793005 1.15354 0.446036 0.470112 1.19942 1.19966 1.20004 0.0629637 
131000000 0.00414415 0.00160832 -0.417523 -0.855314 -1.46682 -1.62546 0.743667 -0.706519 -0.793006 1.20176 0.446036 0.490291 1.19942 1.19966 1.20005 0.0447593 
151000000 0.00414499 0.00160688 -0.417535 -0.864003 -1.46682 -1.58917 0.743669 -0.769351 -0.793006 1.26404 0.446036 0.519209 1.19942 1.19966 1.20005 0.024099 
171000000 0.00414582 0.00160571 -0.417547 -0.871728 -1.46682 -1.5522 0.74367 -0.832185 -0.793006 1.34935 0.446036 0.558674 1.19942 1.19966 1.20006 -0.00022092 
191000000 0.00414663 0.001605 -0.41756 -0.87878 -1.46682 -1.51345 0.743672 -0.895019 -0.793007 1.474 0.446036 0.611482 1.19942 1.19966 1.20006 -0.0305625 
211000000 0.00414748 0.00160582 -0.417572 -0.886613 -1.46682 -1.47324 0.743673 -0.957851 -0.793007 1.61363 0.446036 0.675783 1.19942 1.19966 1.20007 -0.071214 
231000000 0.00414846 0.00160579 -0.417583 -0.897877 -1.46681 -1.43231 0.743675 -1.02068 -0.793007 1.75326 0.446036 0.731605 1.19942 1.19966 1.20007 -0.127917 
251000000 0.00415166 0.00159644 -0.417598 -0.909268 -1.46681 -1.39103 0.743675 -1.08351 -0.793008 1.89289 0.446036 0.761788 1.19942 1.19966 1.20008 -0.190744 
271000000 0.00415093 0.00161276 -0.41761 -0.91883 -1.46681 -1.36408 0.743679 -1.1177 -0.793008 2.03252 0.446036 0.781041 1.19942 1.19966 1.20008 -0.241564 
291000000 0.00415233 0.00160451 -0.417624 -0.915243 -1.46681 -1.36206 0.743679 -1.10716 -0.793008 2.17214 0.446036 0.800693 1.19942 1.19966 1.20009 -0.216351 
311000000 0.00414792 0.00160126 -0.417642 -0.917804 -1.4668 -1.35971 0.743683 -1.09236 -0.793008 2.31177 0.446036 0.825365 1.19942 1.19966 1.20009 -0.212752 
331000000 0.00414918 0.00159048 -0.417662 -0.914701 -1.4668 -1.35845 0.743683 -1.08148 -0.793009 2.4514 0.446036 0.841544 1.19942 1.19966 1.2001 -0.178138 
351000000 0.00414964 0.00158481 -0.41768 -0.915027 -1.4668 -1.36002 0.743683 -1.06565 -0.793009 2.59102 0.446036 0.861563 1.19942 1.19966 1.2001 -0.150303 
371000000 0.00415144 0.00157297 -0.417699 -0.914674 -1.4668 -1.35733 0.743685 -1.05961 -0.793009 2.73065 0.446036 0.87399 1.19943 1.19966 1.20011 -0.114317 
391000000 0.00415172 0.00156405 -0.417716 -0.915926 -1.4668 -1.36144 0.743687 -1.04877 -0.79301 2.87027 0.446036 0.881759 1.19943 1.19966 1.20011 -0.0790255 
411000000 0.00415356 0.00155572 -0.417738 -0.915725 -1.4668 -1.36213 0.743688 -1.04864 -0.79301 3.0099 0.446036 0.883314 1.19943 1.19966 1.20012 -0.0377071 
