task_performance point_to_horizontal_plane task_performance point_to_vertical_plane
0.203604 -1.96203 0.0318335 -0.650664 
0.198053 0.892451 0.0271224 1.47993 
0.194353 0.591056 0.0261478 2.83082 
0.196526 -2.51983 0.0265694 1.56932 
0.193373 1.82813 0.025373 -0.74425 
0.187156 -1.80769 0.0222155 -3.75825 
0.18786 0.657519 0.020223 -1.61756 
0.192914 1.39836 0.0233116 1.23231 
0.20003 -2.30004 0.0288598 -0.00150185 
0.201939 0.0634013 0.0280073 -1.01773 
0.198546 -1.63672 0.0245512 1.54682 
0.195761 -1.61916 0.0222951 1.60077 
0.187711 0.418627 0.0164514 4.33529 
0.190928 1.35361 0.0175903 2.26631 
